elev,shp,rie,elb,time,date,images
17.12,78.47,-15.53,8.86,66757.7,2023-11-05,11-05-2023-18-32-37-700.jpg
25.57,64.45,-35.53,17.49,66757.801,2023-11-05,11-05-2023-18-32-37-801.jpg
33.7,51.31,-47.63,14.37,66757.901,2023-11-05,11-05-2023-18-32-37-901.jpg
59.41,29.03,-64.9,6.71,66758.019,2023-11-05,11-05-2023-18-32-38-019.jpg
78.33,29.03,-64.9,2.73,66758.113,2023-11-05,11-05-2023-18-32-38-113.jpg
106.36,12.26,-67.57,5.35,66758.226,2023-11-05,11-05-2023-18-32-38-226.jpg
118.05,32.17,-50.37,5.37,66758.319,2023-11-05,11-05-2023-18-32-38-319.jpg
129.5,33.63,-50.48,3.32,66758.429,2023-11-05,11-05-2023-18-32-38-429.jpg
148.05,60.78,-21.86,12.86,66758.533,2023-11-05,11-05-2023-18-32-38-533.jpg
159.13,74.05,-9.31,12.05,66758.628,2023-11-05,11-05-2023-18-32-38-628.jpg
170.81,80.83,-3.43,10.35,66758.729,2023-11-05,11-05-2023-18-32-38-729.jpg
174.81,90.86,10.39,18.69,66758.837,2023-11-05,11-05-2023-18-32-38-837.jpg
174.81,94.51,13.6,17.87,66758.934,2023-11-05,11-05-2023-18-32-38-934.jpg
174.81,91.87,10.66,17.28,66759.029,2023-11-05,11-05-2023-18-32-39-029.jpg
174.81,85.06,-2.14,13.04,66759.131,2023-11-05,11-05-2023-18-32-39-131.jpg
152.32,70.54,-17.08,2.47,66759.269,2023-11-05,11-05-2023-18-32-39-269.jpg
141.53,57.83,-31.22,3.02,66759.365,2023-11-05,11-05-2023-18-32-39-365.jpg
116.36,37.5,-52.18,5.54,66759.465,2023-11-05,11-05-2023-18-32-39-465.jpg
103.29,14.73,-64.52,4.93,66759.579,2023-11-05,11-05-2023-18-32-39-579.jpg
73.35,14.73,-64.52,10.12,66759.684,2023-11-05,11-05-2023-18-32-39-684.jpg
53.53,23.02,-71.8,8.86,66759.78,2023-11-05,11-05-2023-18-32-39-780.jpg
26.68,42.61,-53.49,8.46,66759.888,2023-11-05,11-05-2023-18-32-39-888.jpg
15.39,68.63,-22.6,4.35,66760.001,2023-11-05,11-05-2023-18-32-40-001.jpg
15.39,78.31,-11.5,0.34,66760.102,2023-11-05,11-05-2023-18-32-40-102.jpg
15.39,82.98,-4.38,4.62,66760.21,2023-11-05,11-05-2023-18-32-40-210.jpg
9.51,83.91,-2.87,6.19,66760.317,2023-11-05,11-05-2023-18-32-40-317.jpg
8.03,83.24,-4.13,5.09,66760.416,2023-11-05,11-05-2023-18-32-40-416.jpg
5.92,83.3,-3.68,5.78,66760.513,2023-11-05,11-05-2023-18-32-40-513.jpg
5.92,82.71,-5.02,4.12,66760.613,2023-11-05,11-05-2023-18-32-40-613.jpg
5.92,80.82,-8.6,0.66,66760.714,2023-11-05,11-05-2023-18-32-40-714.jpg
16.77,69.8,-29.04,16.15,66760.834,2023-11-05,11-05-2023-18-32-40-834.jpg
22.94,56.33,-42.88,13.5,66760.946,2023-11-05,11-05-2023-18-32-40-946.jpg
50.72,39.95,-56.48,12.65,66761.058,2023-11-05,11-05-2023-18-32-41-058.jpg
66.51,19.45,-76.27,9.95,66761.165,2023-11-05,11-05-2023-18-32-41-165.jpg
90.15,19.45,-76.27,0.83,66761.266,2023-11-05,11-05-2023-18-32-41-266.jpg
106.77,19.45,-70.91,0.68,66761.37,2023-11-05,11-05-2023-18-32-41-370.jpg
121.89,20.56,-63.31,2.56,66761.481,2023-11-05,11-05-2023-18-32-41-481.jpg
138.11,50.08,-32.06,11.59,66761.584,2023-11-05,11-05-2023-18-32-41-584.jpg
148.84,63.63,-20.54,11.77,66761.701,2023-11-05,11-05-2023-18-32-41-701.jpg
163.85,76.83,-7.24,10.91,66761.806,2023-11-05,11-05-2023-18-32-41-806.jpg
163.85,84.37,-0.66,11.65,66761.914,2023-11-05,11-05-2023-18-32-41-914.jpg
163.85,89.49,-7.91,16.17,66762.014,2023-11-05,11-05-2023-18-32-42-014.jpg
163.85,87.45,-4.65,13.64,66762.138,2023-11-05,11-05-2023-18-32-42-138.jpg
175.09,84.18,-0.93,12.59,66762.233,2023-11-05,11-05-2023-18-32-42-233.jpg
175.09,83.49,-0.47,12.96,66762.327,2023-11-05,11-05-2023-18-32-42-327.jpg
175.09,80.86,-3.24,11.05,66762.431,2023-11-05,11-05-2023-18-32-42-431.jpg
153.02,67.38,-20.79,1.7,66762.555,2023-11-05,11-05-2023-18-32-42-555.jpg
118.72,38.23,-50.24,6.51,66762.667,2023-11-05,11-05-2023-18-32-42-667.jpg
87.94,13.19,-82.25,0.51,66762.783,2023-11-05,11-05-2023-18-32-42-783.jpg
64.09,13.81,-82.25,6.87,66762.898,2023-11-05,11-05-2023-18-32-42-898.jpg
42.86,40.35,-49.4,4.56,66763.017,2023-11-05,11-05-2023-18-32-43-017.jpg
28.8,46.34,-44.43,3.63,66763.117,2023-11-05,11-05-2023-18-32-43-117.jpg
14.05,66.92,-23.29,1.83,66763.24,2023-11-05,11-05-2023-18-32-43-240.jpg
14.05,78.52,-9.32,3.74,66763.346,2023-11-05,11-05-2023-18-32-43-346.jpg
14.05,81.85,-6.36,2.9,66763.446,2023-11-05,11-05-2023-18-32-43-446.jpg
14.05,81.99,-7.03,1.32,66763.546,2023-11-05,11-05-2023-18-32-43-546.jpg
14.05,81.66,-8.54,0.85,66763.646,2023-11-05,11-05-2023-18-32-43-646.jpg
14.05,78.13,-14.25,4.52,66763.747,2023-11-05,11-05-2023-18-32-43-747.jpg
12.4,75.0,-19.08,8.88,66763.854,2023-11-05,11-05-2023-18-32-43-854.jpg
19.61,65.69,-33.7,16.35,66763.951,2023-11-05,11-05-2023-18-32-43-951.jpg
31.09,50.2,-47.85,14.49,66764.048,2023-11-05,11-05-2023-18-32-44-048.jpg
44.83,41.18,-57.35,13.05,66764.164,2023-11-05,11-05-2023-18-32-44-164.jpg
47.64,40.07,-56.92,10.1,66764.264,2023-11-05,11-05-2023-18-32-44-264.jpg
72.94,11.97,-56.92,8.36,66764.365,2023-11-05,11-05-2023-18-32-44-365.jpg
