x,y
55101.143,54.73
55101.177,52.21
55101.209,49.51
55101.242,47.39
55101.278,45.23
55101.311,43.04
55101.344,40.85
55101.376,38.2
55101.409,35.29
55101.44,32.78
55101.476,30.48
55101.508,28.61
55101.545,26.92
55101.575,25.27
55101.609,23.6
55101.643,22.11
55101.674,20.65
55101.71,17.33
55101.745,15.41
55101.777,14.05
55101.811,13.11
55101.843,12.36
55101.875,11.79
55101.908,11.26
55101.943,10.7
55101.976,10.28
55102.009,9.98
55102.044,9.77
55102.078,9.63
55102.11,9.53
55102.143,9.45
55102.178,9.41
55102.208,9.38
55102.244,9.38
55102.28,9.62
55102.31,10.53
55102.342,12.57
55102.377,15.57
55102.411,18.81
55102.443,22.85
55102.481,26.43
55102.507,31.14
55102.543,36.35
55102.577,41.98
55102.609,47.39
55102.645,52.03
55102.681,59.85
55102.708,66.26
55102.743,76.71
55102.777,80.91
55102.812,88.43
55102.841,92.12
55102.878,95.74
55102.909,102.49
55102.943,105.91
55102.976,107.2
55103.009,113.33
55103.042,116.38
55103.076,117.73
55103.111,122.23
55103.141,124.18
55103.176,126.21
55103.209,128.64
55103.243,133.64
55103.274,135.54
55103.308,137.1
55103.342,138.65
55103.375,140.06
55103.41,141.19
55103.444,142.39
55103.477,143.74
55103.509,145.22
55103.543,146.95
55103.578,148.34
55103.61,149.72
55103.643,151.4
55103.676,152.91
55103.711,154.2
55103.745,155.03
55103.775,157.63
55103.808,156.25
55103.845,156.62
55103.877,156.86
55103.91,157.0
55103.943,156.92
55103.976,156.03
55104.014,155.27
55104.042,154.49
55104.077,153.11
55104.108,151.1
55104.148,148.62
55104.173,146.06
55104.21,144.44
55104.243,142.66
55104.274,139.91
55104.309,137.22
55104.345,134.15
55104.375,128.48
55104.408,123.97
55104.443,119.65
55104.476,114.75
55104.507,109.85
55104.544,105.41
55104.58,101.77
55104.608,97.98
55104.645,91.95
55104.674,87.35
55104.709,80.29
55104.745,76.07
55104.777,69.28
55104.818,62.53
55104.842,59.16
55104.875,55.63
55104.911,52.47
55104.942,49.28
55104.977,45.23
55105.011,41.77
55105.044,38.52
55105.075,35.77
55105.111,33.43
55105.141,30.84
55105.176,28.57
55105.209,26.55
55105.243,25.12
55105.275,23.42
55105.309,21.83
55105.342,20.38
55105.374,18.07
55105.41,16.18
55105.445,14.51
55105.476,13.29
55105.509,12.33
55105.545,11.65
55105.577,11.07
55105.61,10.5
55105.644,9.96
55105.675,9.49
55105.71,9.14
55105.742,8.86
55105.775,8.65
55105.808,8.49
55105.841,8.37
55105.874,8.28
55105.911,8.22
55105.941,8.18
55105.976,8.15
55106.009,8.15
55106.043,8.35
55106.077,9.35
55106.111,12.0
55106.142,17.35
55106.175,21.86
55106.208,25.81
55106.242,30.99
55106.275,35.81
55106.312,39.74
55106.343,46.24
55106.375,51.36
